text,label
Homestay ở Thái Bình có phục vụ ăn sáng không?,info
Đi Pleiku vào cuối tuần có kẹt xe không?,info
Sơn Tùng M-TP ra bài mới chưa?,none
Nên đi Đảo Cát Bà vào mùa nào là đẹp nhất?,info
Có chuyến bay nào thẳng đến Ninh Thuận không?,info
Phim kinh dị nào đáng sợ nhất?,none
Cách tạo playlist trên Spotify là sao?,none
Người dân Ghềnh Đá Đĩa có phong tục đặc biệt gì?,info
Bạn có biết chỗ nghỉ nào view đẹp ở Thanh Hóa không?,info
Nếu tôi đến Cầu Vàng Đà Nẵng thì nên đi đâu đầu tiên?,info
Cách tắt chế độ Dark Mode trên Windows?,none
Bạn nghĩ tương lai xe điện có phổ biến không?,none
Có món ăn nào nhất định phải thử ở Khánh Hòa không?,info
Đi Tràng An vào cuối tuần có kẹt xe không?,info
Cà Mau có gì nổi tiếng vậy?,info
Hôm nay có phim gì hay không?,none
Tôi nên chọn ngành học nào trong tương lai?,none
Cách tạo website bằng HTML là gì?,none
Ở Đại Nội Huế có di tích lịch sử nào nên tham quan?,info
Học Machine Learning có khó không?,none
Metaverse là gì vậy?,none
Phú Quốc có bãi biển nào đẹp không?,info
Bạn biết cách làm bánh flan không?,none
Bạn có thể kể truyện cười được không?,none
Ai đóng vai chính trong phim Avatar?,none
Tôi nên xem anime nào đầu tiên?,none
"Tôi muốn nghe nhạc Lo-fi, gợi ý giúp với.",none
Blockchain hoạt động ra sao?,none
Đi Đảo Bình Ba có an toàn cho trẻ nhỏ không?,info
Tôi nên đi tour hay tự túc khi du lịch Nhà thờ con gà Đà Lạt?,info
Có bài hát nào đang trend trên TikTok không?,none
Thanh Hóa có đặc sản gì không nhỉ?,info
Cách sửa lỗi máy tính không vào mạng?,none
Tháng mấy là mùa đẹp nhất ở Huế?,info
Người dân Đảo Quan Lạn có phong tục đặc biệt gì?,info
Ở Phú Yên có lạnh vào ban đêm không?,info
Bạn có thể giới thiệu vài quán ăn ngon ở Đảo Bình Ba không?,info
Ở Đảo Cù Lao Chàm có quán cà phê đẹp nào không?,info
Laptop nào tốt để chơi game?,none
Tôi có thể đổi tiền ở đâu khi đến Khánh Hòa?,info
Top 10 bộ phim hay nhất Netflix là gì?,none
Làm sao để học tốt tiếng Anh giao tiếp?,none
Tôi có thể cắm trại ở Bà Nà Hills được không?,info
Người dân Bái Đính có phong tục đặc biệt gì?,info
Nếu đi Đại Nam vào mùa mưa có sao không?,info
Lễ hội lớn nhất ở Long An là gì?,info
Tôi có thể thuê xe máy ở Chợ nổi Cái Răng được không?,info
"Tôi muốn nghe nhạc không lời khi học, gợi ý nhé.",none
Giá đồ ăn ở Đảo Hòn Sơn có đắt không?,info
Bạn thích ca sĩ nào nhất?,none
Cách tính điểm trong bóng rổ là sao?,none
Có tàu lửa đi Vịnh Hạ Long không bạn?,info
Phim Titanic công chiếu năm nào?,none
Nên đi Chùa Hương vào mùa nào là đẹp nhất?,info
Có khách sạn nào ở Vịnh Hạ Long phù hợp cho gia đình không?,info
Tháng mấy là mùa đẹp nhất ở Nghệ An?,info
Tôi nên mang gì khi đi Đảo Cát Bà mùa này?,info
Có nên đi Asia Park vào mùa hè không?,info
Có thể xem múa rối nước ở Hà Tiên không?,info
"Tôi nghe nói Tràng An có lễ hội rất đông, đúng không?",info
Người dân Vườn quốc gia Phong Nha – Kẻ Bàng có phong tục đặc biệt gì?,info
Bạn có biết lập trình Python không?,none
Bạn có biết chỗ nghỉ nào view đẹp ở Yên Bái không?,info
Tin tức mới nhất về AI là gì?,none
Cách tải phim về điện thoại là sao?,none
BLACKPINK có mấy thành viên vậy?,none
Tôi nên đặt phòng ở khu nào khi đến Sầm Sơn?,info
Có nên đi Hà Nam vào mùa hè không?,info
Lễ hội ở Thác Datanla thường diễn ra vào tháng mấy?,info
Messi đang đá cho đội nào?,none
Người dân Thác Pongour có phong tục đặc biệt gì?,info
Có nên thuê hướng dẫn viên khi đi Tràng An không?,info
