text,true_label,pred_label
Bạn có biết chỗ nghỉ nào view đẹp ở Chợ Bến Thành không?,info,info
Nếu tôi đến Eo Gió thì nên đi đâu đầu tiên?,info,info
"Tôi muốn đi phượt Đảo Bình Ba, có nguy hiểm không?",info,info
Tôi có thể đổi tiền ở đâu khi đến Cần Thơ?,info,info
Có chuyến bay nào thẳng đến Mộc Châu không?,info,info
Tôi nên ở bao lâu khi đi Núi Sam?,info,info
Ở Đại Nội Huế có lễ hội gì nổi tiếng không?,info,info
Ninh Bình có gì thú vị thế?,info,info
Tôi nên ở bao lâu khi đi Nam Định?,info,info
"Bạn ơi, Đồng Nai có gì vui không?",info,info
Bạn có thể kể lịch sử của Đại Nam không?,info,info
Homestay ở Phan Rang có phục vụ ăn sáng không?,info,info
Lễ hội ở Mũi Né thường diễn ra vào tháng mấy?,info,info
Tôi muốn biết thêm thông tin về Điện Biên.,info,info
Tôi có thể thuê xe máy ở Thanh Hóa được không?,info,info
Tháng mấy là mùa đẹp nhất ở Bình Thuận?,info,info
Từ Sài Gòn đi Đảo Hòn Sơn mất bao lâu?,info,info
Có món ăn nào nhất định phải thử ở Phố cổ Hà Nội không?,info,info
Mua iPhone ở đâu uy tín?,none,none
Có thể mua đặc sản Mũi Né làm quà ở đâu?,info,info
Mộc Châu có món nào hợp với người ăn chay không?,info,info
Mùa xuân ở Thác Datanla có gì đặc biệt?,info,info
Đi Cao Bằng vào cuối tuần có kẹt xe không?,info,info
Đặc sản nổi tiếng ở Hoa Lư là gì vậy?,info,info
Bạn có thể chia sẻ kinh nghiệm du lịch Hoa Lư không?,info,info
Tôi có thể cắm trại ở Hà Giang được không?,info,info
"Tôi muốn trải nghiệm văn hóa địa phương ở Cà Mau, nên đi đâu?",info,info
Tôi nên đi tour hay tự túc khi du lịch Lạng Sơn?,info,info
Tôi nên ở bao lâu khi đi Đà Lạt?,info,info
Ở Đà Nẵng có khách sạn nào gần điểm du lịch chính không?,info,info
Ở An Giang có khách sạn nào gần trung tâm không?,info,info
Tôi nên đi tour hay tự túc khi du lịch Núi Bà Đen?,info,info
Đi Ghềnh Đá Đĩa có an toàn cho trẻ nhỏ không?,info,info
"Tôi muốn trải nghiệm văn hóa địa phương ở Bạc Liêu, nên đi đâu?",info,info
Món ăn truyền thống của Thanh Hóa là gì?,info,info
Có tàu lửa đi Nhà thờ Đức Bà không bạn?,info,info
Đi Chợ nổi Cái Răng vào cuối tuần có kẹt xe không?,info,info
